cell_id,ev_Antes,ev_Despues,pa_Antes,pa_Despues,tasa_antes,tasa_despues,delta_tasa,esperado,exceso
13_43,0,0,223,166,0.0,0.0,0.0,0.0,0.0
13_44,0,0,223,166,0.0,0.0,0.0,0.0,0.0
13_45,0,0,149,176,0.0,0.0,0.0,0.0,0.0
13_46,0,0,221,204,0.0,0.0,0.0,0.0,0.0
13_47,0,0,221,204,0.0,0.0,0.0,0.0,0.0
13_48,1,0,221,204,0.004524886877828055,0.0,-0.004524886877828055,0.9230769230769231,-0.9230769230769231
13_49,10,4,221,204,0.04524886877828054,0.0196078431372549,-0.02564102564102564,9.23076923076923,-5.23076923076923
13_5,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_50,9,3,295,236,0.030508474576271188,0.012711864406779662,-0.017796610169491526,7.2,-4.2
13_51,5,8,221,204,0.02262443438914027,0.0392156862745098,0.016591251885369532,4.615384615384615,3.384615384615385
13_52,16,26,221,204,0.07239819004524888,0.12745098039215685,0.05505279034690798,14.76923076923077,11.23076923076923
13_53,19,12,221,204,0.08597285067873303,0.058823529411764705,-0.027149321266968326,17.53846153846154,-5.53846153846154
13_54,12,15,221,204,0.05429864253393665,0.07352941176470588,0.019230769230769232,11.076923076923077,3.9230769230769234
13_55,9,4,221,208,0.04072398190045249,0.019230769230769232,-0.021493212669683258,8.470588235294118,-4.470588235294118
13_56,7,11,221,243,0.03167420814479638,0.04526748971193416,0.01359328156713778,7.69683257918552,3.3031674208144803
13_57,8,16,221,205,0.03619909502262444,0.07804878048780488,0.04184968546518044,7.420814479638009,8.57918552036199
13_58,39,31,221,205,0.17647058823529413,0.15121951219512195,-0.025251076040172182,36.1764705882353,-5.176470588235297
13_59,13,14,221,277,0.058823529411764705,0.05054151624548736,-0.008282013166277344,16.294117647058822,-2.2941176470588225
13_6,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_60,13,8,296,275,0.04391891891891892,0.02909090909090909,-0.01482800982800983,12.077702702702704,-4.0777027027027035
13_61,2,8,443,339,0.004514672686230248,0.02359882005899705,0.019084147372766803,1.530474040632054,6.469525959367946
