slick_id,s1_timestamp,s2_image_id,s2_timestamp,desfase_horas,nubes_pct,machine_confidence,area_km2,lon,lat,slick_url,n_candidatas_s2
4468765,2025-10-23 02:30:02+00:00,COPERNICUS/S2_SR_HARMONIZED/20251023T071849_20251023T072359_T39RVM,2025-10-23 07:31:46.795000+00:00,5.03,0.0,0.9992,25.39,50.69945598406143,28.07149821447702,https://cerulean.skytruth.org/slicks/4468765?ref=api&slick_id=4468765,2
4823718,2026-04-06 14:41:25+00:00,COPERNICUS/S2_SR_HARMONIZED/20260406T071621_20260406T072933_T39RUN,2026-04-06 07:31:35.164000+00:00,7.16,0.0,0.996,10.15,50.131971389938656,28.870414237742025,https://cerulean.skytruth.org/slicks/4823718?ref=api&slick_id=4823718,4
4995070,2026-06-05 14:41:28+00:00,COPERNICUS/S2_SR_HARMONIZED/20260605T071621_20260605T072951_T39RUM,2026-06-05 07:31:49.442000+00:00,7.16,0.01,0.9976,42.91,50.1092531754276,28.84969667197625,https://cerulean.skytruth.org/slicks/4995070?ref=api&slick_id=4995070,4
5056698,2026-06-30 14:41:44+00:00,COPERNICUS/S2_SR_HARMONIZED/20260630T071619_20260630T072911_T39RUM,2026-06-30 07:31:48.220000+00:00,7.17,1.33,0.998,21.36,50.157206533933945,28.63180983743241,https://cerulean.skytruth.org/slicks/5056698?ref=api&slick_id=5056698,1
4375789,2025-09-08 14:42:13+00:00,COPERNICUS/S2_SR_HARMONIZED/20250908T071631_20250908T073153_T39RVM,2025-09-08 07:32:03.780000+00:00,7.17,0.0,0.9996,10.75,50.20127295120175,28.54017395708117,https://cerulean.skytruth.org/slicks/4375789?ref=api&slick_id=4375789,1
5056691,2026-06-30 14:41:44+00:00,COPERNICUS/S2_SR_HARMONIZED/20260630T071619_20260630T072911_T39RUN,2026-06-30 07:31:33.877000+00:00,7.17,0.02,0.9987,15.93,49.98915403541277,28.83941916857557,https://cerulean.skytruth.org/slicks/5056691?ref=api&slick_id=5056691,3
5056699,2026-06-30 14:41:44+00:00,COPERNICUS/S2_SR_HARMONIZED/20260630T071619_20260630T072911_T39RUM,2026-06-30 07:31:48.220000+00:00,7.17,1.33,0.9986,8.38,50.02218194777368,28.63015340931792,https://cerulean.skytruth.org/slicks/5056699?ref=api&slick_id=5056699,1
5056692,2026-06-30 14:41:44+00:00,COPERNICUS/S2_SR_HARMONIZED/20260630T071619_20260630T072911_T39RVN,2026-06-30 07:31:29.777000+00:00,7.17,8.87,0.9971,17.4,50.41982257742739,28.89764167409265,https://cerulean.skytruth.org/slicks/5056692?ref=api&slick_id=5056692,1
5135776,2026-08-06 14:32:27+00:00,COPERNICUS/S2_SR_HARMONIZED/20260806T070619_20260806T071854_T39RXK,2026-08-06 07:22:12.922000+00:00,7.17,6.76,0.997,18.35,52.733792318584605,26.727055076682436,https://cerulean.skytruth.org/slicks/5135776?ref=api&slick_id=5135776,1
3610107,2024-09-13 14:42:22+00:00,COPERNICUS/S2_SR_HARMONIZED/20240913T071621_20240913T072053_T39RUM,2024-09-13 07:31:48.694000+00:00,7.18,0.0,0.9992,8.35,50.00529927876031,28.345515035456664,https://cerulean.skytruth.org/slicks/3610107?ref=api&slick_id=3610107,2
