cell_id,mes,u10,v10,wind_speed
39_24,2025-02,1.103811,-3.6053996,5.833857
39_24,2025-03,0.10697716,-2.9759588,5.6186433
39_24,2025-04,0.46105984,-2.0407326,4.827621
39_24,2025-05,2.1111677,-3.0109982,4.891314
39_24,2025-06,2.7944968,-3.552241,5.8154736
39_24,2025-07,1.7540365,-2.8192115,4.725724
39_24,2025-08,-1.4679257,-0.4930165,3.5259032
39_24,2025-09,0.6358045,-2.8614728,4.278684
39_24,2025-10,0.85987425,-2.3715518,3.617788
39_24,2025-11,1.0170895,-2.7268972,3.978601
39_24,2025-12,0.35645142,-1.145533,4.0316334
39_24,2026-01,1.8205686,-2.081569,4.992189
39_24,2026-02,-0.4173031,-0.94087315,4.2816186
39_24,2026-03,-0.82239515,-2.346294,5.350908
39_24,2026-04,0.78168833,-3.714997,5.4395857
39_24,2026-05,2.3016098,-3.9829957,5.452586
39_24,2026-06,2.5716596,-3.9967825,5.4225636
39_24,2026-07,1.5129514,-1.9305916,4.050939
39_24,2026-08,-1.2761174,-0.19901067,3.0331738
39_25,2023-01,0.6475979,-2.1726546,4.974799
39_25,2023-02,0.43182278,-1.9793587,6.0272512
39_25,2023-03,0.04180047,-1.6984378,4.3345985
39_25,2023-04,1.1148325,-1.9462055,4.6309323
39_25,2023-05,1.0077995,-2.6588428,4.565511
39_25,2023-06,2.6553583,-3.8660028,5.350032
39_25,2023-07,0.8675756,-2.222686,3.6880207
39_25,2023-08,-0.8957293,-0.65451443,3.4070466
39_25,2023-09,0.07395859,-1.854404,3.6866505
39_25,2023-10,0.4397268,-2.2353318,3.5707636
39_25,2023-11,0.789091,-2.6800003,4.3272247
39_25,2023-12,1.4697821,-2.3504336,4.24124
39_25,2024-01,1.3347074,-1.9450227,5.2299385
39_25,2024-02,1.3113438,-3.5906193,6.0393505
39_25,2024-03,0.10555858,-2.136527,5.0496006
39_25,2024-04,-0.38279405,-1.1168149,3.8287556
39_25,2024-05,0.18080533,-1.9595208,5.55376
39_25,2024-06,0.3746091,-1.2291313,3.564144
39_25,2024-07,2.4382265,-2.9655344,4.7869453
39_25,2024-08,-0.88946384,-1.1416621,3.9322026
39_25,2024-09,0.0016405742,-1.7593504,3.1974308
39_25,2024-10,0.19211812,-2.8321946,4.5777135
39_25,2024-11,1.5757495,-3.0133505,4.791774
39_25,2024-12,2.4967291,-2.599227,4.605202
39_25,2025-01,2.7977767,-3.4784582,5.1807213
39_25,2025-02,1.103811,-3.6053996,5.833857
39_25,2025-03,0.10697716,-2.9759588,5.6186433
39_25,2025-04,0.46105984,-2.0407326,4.827621
39_25,2025-05,2.1111677,-3.0109982,4.891314
39_25,2025-06,2.7944968,-3.552241,5.8154736
39_25,2025-07,1.7540365,-2.8192115,4.725724
39_25,2025-08,-1.4679257,-0.4930165,3.5259032
39_25,2025-09,0.6358045,-2.8614728,4.278684
39_25,2025-10,0.85987425,-2.3715518,3.617788
