cell_id,dist_costa_km,dist_ruta_maritima_km
78_36,3.1107381789715642,45.72482710594181
78_37,11.891962429326977,55.629112843029795
78_38,13.905428044017382,65.55677098401567
78_39,20.414274841053448,75.49863094142962
78_40,27.48912803850624,85.4497791470938
78_41,35.222767543210004,95.4073482226479
78_42,43.335510402372755,105.36955318378602
78_43,52.10135236992252,115.3352251327776
78_44,61.18975179769863,125.30356675644707
78_45,70.44499719669592,135.27401564394816
78_46,79.87547627640616,145.24616377588333
78_47,89.42581002268108,155.2197079897537
78_48,99.06137767683161,165.19441835993283
78_49,108.75956248805512,173.77585667107118
78_50,118.50502415838068,182.40390437209103
78_51,127.8740363000069,191.1638096318525
78_52,136.42924891713886,200.0382698654219
78_53,145.16683112783159,209.01271240088826
78_54,154.055780667501,218.0748116099812
78_55,163.07137017785237,227.21409664595413
78_56,172.19373172012442,236.42163288655382
78_57,181.40677973524828,245.6897629316062
78_58,190.6973912343027,255.01189556033427
78_59,200.05477978363157,264.38233327011983
78_60,209.47001510448908,273.7961308687418
78_61,218.93565220471567,283.2489791020715
78_62,228.44544318389433,292.73710851429155
78_63,237.9941117448065,302.2572097075751
78_64,247.57717554118508,311.8063669384785
78_65,257.1908052474958,321.3820025990966
78_66,266.8317120031011,330.9818306147324
78_67,276.4970569262005,340.6038171735775
78_68,286.1843779070817,350.2444423072252
78_69,295.89153001804766,359.8882374681235
78_70,305.5333176361146,369.52500250529306
78_71,315.16688739575324,379.1617969348696
78_72,324.8179550288853,388.7986210640771
78_73,334.4718070087208,398.4414556617444
78_74,344.1406219556512,408.1005829518615
78_75,353.8270825837104,417.7751070130126
78_76,363.5297895497881,427.4639920141959
78_77,373.24748679232664,437.1662924874163
79_0,140.00750223353404,273.49432386851294
79_1,133.0458967344158,267.2903692694847
79_2,126.48886486287994,261.32033488347815
79_3,120.40255057923177,252.60259542770746
79_4,114.86183453957507,242.6750706641139
79_5,109.94926168183314,232.7516840214487
79_6,105.75243831721605,222.83300319264484
79_7,102.35947415172528,212.91970142538582
79_8,94.55049673609018,203.0125831385629
79_9,86.19286745531942,193.11261734635593
79_10,78.21599061236333,183.22098180089426
79_11,70.44602437209316,173.33912206741869
79_12,63.22856851491308,163.46883173954024
79_13,56.66779739893872,153.61236311551505
79_14,48.60757535556639,143.77258262837552
79_15,39.854861869335885,133.95319346022396
79_16,31.83168005152341,124.15906145547194
79_17,25.24363008512079,114.39670415899836
79_18,21.37172306204406,104.67504527225633
79_19,17.918573328725845,95.0066157113754
79_20,9.856854130463221,85.40953501882456
79_21,5.2579120085835624,75.9087361737661
79_22,1.0241302861722295,66.44741281842138
79_23,4.439960841798388,56.98609177836266
79_24,13.900757013159453,47.52477269445175
79_25,23.74282810578011,38.0634552083443
79_26,31.962987717268447,28.60213896249139
79_27,39.69923805102537,19.140823600143598
79_28,48.13529164562572,9.708685261084904
79_29,48.07342030981214,3.9327383307094443
79_30,38.60786831482245,6.702749032220774
79_31,28.69195185679551,3.92820740883532
79_32,18.827070436134626,6.61309782673405
79_33,9.213722185623253,15.831652392381354
79_34,0.6133491056340696,25.627452689612475
