CeldaID,Longitud,Latitud,DistanciaCostaKm,DistanciaRutaKm,ProfundidadM,FranjaProfundidad,EsMar,AguasSomeras
2_1,47.75278,23.63514,328.035775047355,421.3658282159239,,,False,False
2_2,47.75278,23.72523,323.2085951511124,413.22547308632016,,,False,False
2_3,47.75278,23.81532,318.625440075815,405.1711627842796,,,False,False
2_4,47.75278,23.90541,314.296983445918,397.2081302812333,,,False,False
2_5,47.75278,23.9955,309.4725935484507,389.34197482220986,,,False,False
2_6,47.75278,24.08559,303.320415905764,381.5786863124279,,,False,False
2_7,47.75278,24.17568,297.38109334844773,373.8523338673079,,,False,False
2_8,47.75278,24.26577,291.6676272794278,365.2229341346279,,,False,False
2_9,47.75278,24.35586,286.19354250436146,356.66863827689025,,,False,False
2_10,47.75278,24.44595,280.97282834912926,348.1949798183405,,,False,False
2_11,47.75278,24.53604,276.01985973555486,339.8079893365441,,,False,False
2_12,47.75278,24.62613,271.34929614094585,331.5142427246123,,,False,False
2_13,47.75278,24.71622,266.93349498038833,323.320913567921,,,False,False
2_14,47.75278,24.80631,262.8123717884101,315.23582966660905,,,False,False
2_15,47.75278,24.8964,258.2134751456938,307.2675335970344,,,False,False
2_16,47.75278,24.98649,253.48259706776983,299.4253470110552,,,False,False
2_17,47.75278,25.07658,249.0682090717189,291.719438105749,,,False,False
2_18,47.75278,25.16667,244.98741711673551,284.16089134029977,,,False,False
2_19,47.75278,25.25676,241.2571467601088,276.76177801096867,,,False,False
2_20,47.75278,25.34685,237.8938843824677,269.5352256989819,,,False,False
2_21,47.75278,25.43694,234.91339068950197,262.495483860806,,,False,False
2_22,47.75278,25.52703,232.33039411864485,255.65798192264864,,,False,False
2_23,47.75278,25.61712,230.1582746752706,249.039375170003,,,False,False
2_24,47.75278,25.70721,228.4087513136153,242.65757250861512,,,False,False
2_25,47.75278,25.7973,222.2858457436282,236.53173886799948,,,False,False
2_26,47.75278,25.88739,215.52478002658435,230.68226372244783,,,False,False
2_27,47.75278,25.97748,209.0298300585217,225.13068607950336,,,False,False
2_28,47.75278,26.06757,202.5283378787388,219.8995655691178,,,False,False
2_29,47.75278,26.15766,195.3112047235268,215.01228927330683,,,False,False
2_30,47.75278,26.24775,186.98699204920797,210.49280504471952,,,False,False
2_31,47.75278,26.33784,178.83842817494752,206.3652746719186,,,False,False
2_32,47.75278,26.42793,170.8949490801662,202.58721993489576,,,False,False
2_33,47.75278,26.51802,163.18650053755638,199.2186413634376,,,False,False
2_34,47.75278,26.60811,155.74797738627103,196.30848244990472,,,False,False
2_35,47.75278,26.6982,148.6199083872235,193.8773829106176,,,False,False
2_36,47.75278,26.78829,141.84909625917177,191.9435419508444,,,False,False
2_37,47.75278,26.87838,135.48910395055606,190.5220974214968,,,False,False
2_38,47.75278,26.96847,129.60041936532116,189.6245679326432,,,False,False
2_39,47.75278,27.05856,124.25006364342924,185.28894733873628,,,False,False
2_40,47.75278,27.14865,119.51035141340112,176.5267388746212,,,False,False
2_41,47.75278,27.23874,115.39140525900083,167.91161342368707,,,False,False
2_42,47.75278,27.32883,111.07433751505556,159.46740462086356,,,False,False
2_43,47.75278,27.41892,107.52997383493316,151.22274015187173,,,False,False
2_44,47.75278,27.50901,104.83670516638836,143.21208005249144,,,False,False
2_45,47.75278,27.5991,102.41657957725668,135.47693259228413,,,False,False
2_46,47.75278,27.68919,97.8627416598392,128.0672215046847,,,False,False
2_47,47.75278,27.77928,93.22408609046327,121.04271826310796,,,False,False
